Phrase,Neighbours
deterministic approximation,"approximation theory, approximation algorithms, approximation algorithm, deterministic global optimization, universal approximation theorem, sparse approximation, deterministic encryption schemes, deterministic encryption, deterministic encryption scheme"
deterministic encryption,"deterministic encryption scheme, deterministic encryption schemes, probabilistic encryption scheme, encryption algorithms, encryption algorithm, advanced encryption standard, data encryption standard, certificate-based encryption, encryption keys, public key encryption models"
deterministic encryption scheme,"deterministic encryption schemes, deterministic encryption, probabilistic encryption scheme, encryption algorithms, encryption algorithm, advanced encryption standard, data encryption standard, certificate-based encryption, encryption keys, public key encryption models"
deterministic encryption schemes,"deterministic encryption scheme, deterministic encryption, probabilistic encryption scheme, encryption algorithms, encryption algorithm, advanced encryption standard, data encryption standard, certificate-based encryption, encryption keys, public key encryption models"
deterministic global optimization,"deterministic approximation, optimization theory, combinatorial optimization, optimization mechanism, stochastic optimization, optimization methods, combinatorial optimization problems, nonlinear optimization, numerical optimization, functional optimization"
differentiable function,"linear function, recursive parametrically polymorphic function, primitive recursive function, basic function, mathematical function, function abstraction, continuous function, quadratic function, linear objective function, linear discriminant function"
differentiable neural computers,"neural networks, physical neural networks, neural network, neural turing machines, physical neural network, artificial neural networks, artificial neural network, recurrent neural nets, recurrent neural networks, neural abstraction pyramid"
differential calculus,"differential equations, typed lambda calculus, pattern calculus, concurrent pattern calculus, stochastic differential equations, differential entropy"
differential entropy,"entropy method, entropy calculations, normalized entropy, transfer entropy, maximum entropy probability distribution, differential calculus, stochastic differential equations, differential equations"
differential equations,"differential calculus, linear equations, stochastic differential equations, differential entropy"
digital circuits,"combinational circuits, digital logic, digital transmission, digital computer, digital signal processing, digital signal, digital network, digital conversion, digital data, digital filters"
digital computer,"computer systems, digital network, digital data, computer program, digital information, computer science, computer hardware unit, computer programs, computer interface, computer architecture"
digital conversion,"digital transmission, digital data, digital signal, digital signal processing, digital logic, digital computer, digital information, digital circuits, digital filter, digital filters"
digital data,"digital information, multimedia data, digital network, digital computer, digital conversion, digital signal, digital logic, data transfer, data storage, streaming data"
digital filter,"digital filters, digital signal processing, digital signal, digital transmission, digital data, digital conversion, digital image processing, digital logic, digital picture processing, digital circuits"
digital filters,"digital filter, adaptive filters, composition filters, digital signal processing, digital signal, digital transmission, digital conversion, digital image processing, digital logic, digital data"
digital image processing,"digital picture processing, image processing, digital signal processing, image recognition, graphics processing unit, image search tool, digital data, image file formats, signal processing, digital signal"
digital information,"digital data, information technology, information system, information science, information technology methods, information retrieval, digital computer, information theory, digital network, information architecture"
digital logic,"computational logic, logic programming, logic program, logic programming language, computability logic, classical logic, mathematical logic, compound logic gates, logic programming languages, digital data"
digital network,"computer network, communications network, telecommunications network, digital transmission, network architecture, computer network architecture, digital computer, computer network programming, digital data, network protocol"
digital picture processing,"digital image processing, image processing, digital signal processing, graphics processing unit, digital data, signal processing, digital signal, processing unit, text processing, digital information"
digital signal,"digital signal processing, digital transmission, analog signal, signal generation, signal processing, digital data, digital filter, digital conversion, input signal, digital network"
digital signal processing,"digital signal, signal processing, digital image processing, digital picture processing, signal generation, digital transmission, digital filter, analog signal, digital conversion, digital filters"
digital signatures,"electronic signatures, digital signal, digital conversion, digital data, digital logic, digital information, digital signal processing, digital circuits, digital transmission, digital filters"
digital transmission,"digital signal, digital network, digital signal processing, digital conversion, digital circuits, digital data, digital computer, digital filter, digital information, digital filters"
dimensional generalization,"dimensional space, dimensional theories, dimensional vector space model, dimensional optimization problem"
dimensional optimization problem,"optimization problem, optimization problems, Infinite-dimensional optimization, numerical optimization, optimization methods, optimization algorithm, optimization theory, vector optimization, combinatorial optimization problems, optimization mechanism"
dimensional space,"euclidean space, dimensional vector space model, dimensional theories, vector space, dimensional generalization, problem space, hilbert space, dimensional optimization problem, state space, sample space"
dimensional theories,"dimensional space, dimensional generalization, dimensional vector space model, algebraic theories, dimensional optimization problem, cognitive theories"
dimensional vector space model,"vector space, dimensional space, vector machine models, dimensional generalization, vector spaces, dimensional theories, complex vector spaces, vector field, vector optimization, vector quantization"
directed acyclic graph,"directed graph, directed graphs, simple directed graphs, graph algorithms, underlying graph, graph theory, graph state, graph exploration, graph states, finite graph"
directed edge,"directed networks, directed graphical model, edge contraction, directed graph, directed graphs, directed acyclic graph, simple directed graphs"
directed graph,"directed graphs, simple directed graphs, directed acyclic graph, graph exploration, graph algorithms, graph state, graph theory, underlying graph, graph states, graph search"
directed graphical model,"graphical model, undirected graphical model, probabilistic graphical model, directed graphs, directed graph, structured model, directed networks, semi-structured model, simple directed graphs, osi model"
directed graphs,"simple directed graphs, directed graph, directed acyclic graph, directed networks, directed graphical model, directed edge"
directed networks,"progressive networks, terrestrial networks, directed graphs, directed graphical model, directed graph, generative adversarial networks, ambient networks, router networks, heterogeneous networks, simple directed graphs"
dirichlet process,"computational process, process optimization software, analytical hierarchy process, stochastic process, analytic hierarchy process, continuous-time Markov process, gaussian process"
discrete mathematics,"computational mathematics, applied mathematics, discrete time recurrent neural networks"
discrete time recurrent neural networks,"continuous-time recurrent neural networks, recurrent neural networks, fully recurrent neural networks, recurrent neural network, time delay neural network, recurrent neural nets, neural networks, physical neural networks, neural network, physical neural network"
discriminant function analysis,"linear discriminant function, linear discriminant analysis, normal discriminant analysis, functional analysis, parity function, differentiable function, multivariate analysis, data analysis, linear function, computable function"
disk encryption software,"disk hardware encryption, data encryption standard, encryption keys, certificate-based encryption, encryption algorithm, encryption algorithms, advanced encryption standard, deterministic encryption scheme, deterministic encryption, deterministic encryption schemes"
disk hardware encryption,"disk encryption software, data encryption standard, certificate-based encryption, encryption algorithm, encryption keys, encryption algorithms, advanced encryption standard, deterministic encryption, deterministic encryption scheme, deterministic encryption schemes"
distance metric,"distance metric learning, euclidean distance, hamming distance, information distance, normalized compression distance"
distance metric learning,"distance metric, euclidean distance, information distance, online machine learning, hamming distance, learning vector quantization, machine learning, statistical learning theory, similarity learning, computational learning theory"
distributed algorithms,"distributed computing, distributed artificial intelligence, distributed artificial intelligence systems, distributed application, distributed information processing, distributed computing environment, distributed search, efficient algorithms, randomized algorithms, online algorithms"
distributed application,"distributed application architecture, distributed computing, distributed computing environment, distributed information processing, distributed object communication, distributed search, portable distributed objects, distributed algorithms, distributed data stores, distributed artificial intelligence"
distributed application architecture,"distributed application, distributed computing environment, distributed computing, distributed information processing, systems architecture, distributed object communication, portable distributed objects, distributed data stores, computer architecture, distributed algorithms"
distributed artificial intelligence,"distributed artificial intelligence systems, artificial intelligence, traditional artificial intelligence, symbolic artificial intelligence, distributed algorithms, artificial intelligent agents, subsymbolic artificial intelligence, distributed information processing, swarm intelligence algorithms, distributed computing"
distributed artificial intelligence systems,"distributed artificial intelligence, artificial intelligence, traditional artificial intelligence, symbolic artificial intelligence, distributed algorithms, artificial systems, artificial intelligent agents, distributed information processing, subsymbolic artificial intelligence, swarm intelligence algorithms"
distributed computing,"distributed computing environment, distributed application, distributed information processing, distributed algorithms, distributed application architecture, distributed data stores, distributed search, distributed object communication, portable distributed objects, distributed artificial intelligence"
distributed computing environment,"distributed computing, distributed application, advanced computing environment, distributed application architecture, distributed information processing, distributed algorithms, portable distributed objects, distributed data stores, distributed object communication, distributed search"
distributed data stores,"distributed information processing, distributed computing, distributed search, data warehouse, distributed application, data storage, distributed computing environment, portable distributed objects, distributed application architecture, distributed object communication"
distributed information processing,"distributed computing, distributed data stores, distributed application, distributed computing environment, distributed object communication, distributed algorithms, distributed search, distributed artificial intelligence systems, distributed application architecture, distributed artificial intelligence"
distributed key generation,"distributed computing, distributed computing environment, distributed application, distributed information processing, portable distributed objects, distributed application architecture, distributed object communication, distributed search, distributed artificial intelligence systems, distributed algorithms"
distributed object communication,"portable distributed objects, distributed information processing, distributed application, distributed computing, distributed application architecture, distributed computing environment, distributed data stores, distributed artificial intelligence, distributed artificial intelligence systems, Object Oriented Programming"
distributed search,"distributed application, distributed computing, distributed data stores, distributed information processing, distributed algorithms, search algorithms, search algorithm, distributed computing environment, distributed artificial intelligence, portable distributed objects"
distribution-based clustering,"clustering algorithms, k-means clustering, data stream clustering"
division algorithm,"transformation algorithm, recursive algorithm, algorithm theory, optimization algorithm, conquer algorithm, sorting algorithm, polynomial time algorithm, learning algorithm, thomas algorithm, compound algorithm"
DMA attack,"dma attack, dma attacks, side channel attack"
dma attack,"DMA attack, dma attacks, side channel attack"
dma attacks,"DMA attack, dma attack"
double-ended priority queue,"priority queue, priority queues, randomized meldable priority queue"
doubly linked list,"linked list, unrolled linked list, unrolled linked lists, adjacency list"
dynamic array,"dynamically allocated array, dynamic prefetched arrays, array list, dynamic table, mutable array, resizable array, dynamic models, dynamic compilation, bit array, conventional dynamic memory allocation libraries"
dynamic compilation,"static compilation, compilation error, dynamic table, dynamic models, dynamic array, compilation errors, conventional dynamic memory allocation libraries, dynamic prefetched arrays, dynamic host configuration protocol"
dynamic host configuration protocol,"network protocol, internet protocol suite, wireless routing protocol, advanced message queuing protocol, file exchange protocol, industrial protocol, dynamic compilation, dynamic models, spice protocol, dynamic table"
dynamic models,"computational models, regression models, generative models, probabilistic models, vector machine models, linear regression models, dynamic table, dynamic array, dynamic compilation, hidden markov models"
dynamic prefetched arrays,"dynamic array, static arrays, associative arrays, dynamic table, dynamic compilation, conventional dynamic memory allocation libraries, dynamic models"
dynamic table,"table structure, dynamic array, lookup table, database table, dynamic models, dynamic compilation, dynamic prefetched arrays, truth table, hash table, conventional dynamic memory allocation libraries"
dynamical system,"linear system, computational system, multimodal system, reasoning system, information system, system level analysis, system matrix, system performance, graphics system, fuzzy control system"
dynamically allocated array,"dynamic array, resizable array, array list, mutable array, bit array"
eager learning,"deep learning, supervised learning, computer learning, deep reinforcement learning, transductive learning, reinforcement learning, learning theory, lazy learning, learning method, unsupervised learning"
ecb mode,
economic game theory,"combinatorial game theory, algorithm theory, probability theory, systems theory, automata theory, optimization theory, information theory, learning theory, graph theory, finite automata theory"
edge contraction,"tree contraction, parallel tree contraction, directed edge"
efficient algorithms,"standard computer algorithms, sequential algorithms, iterative algorithms, online algorithms, abstract algorithms, approximation algorithms, evolutionary algorithms, machine learning algorithms, search algorithms, fast multiplication algorithms"
eigenmode expansion,
eigenvalue algorithm,"algorithm theory, compound algorithm, learning algorithm, polynomial time algorithm, Symmetric-key algorithm, thomas algorithm, gaussseidel method algorithm, algorithm design technique, online algorithm, greedy algorithm"
electronic signature,electronic signatures
electronic signatures,"digital signatures, electronic signature"
embedded data,"embedded systems, data abstraction, structured data, multimedia data, digital data, abstract data structures, data objects, data elements, data visualization, data structure"
embedded systems,"embedded data, systems architecture, artificial systems, software systems, computer systems, systems engineering, operating systems, information technology systems design, gaming systems, distributed artificial intelligence systems"
empirical eigenfunction,empirical orthogonal functions
empirical orthogonal functions,"orthogonal decomposition, orthogonal decomposition methods, radial functions, empirical eigenfunction, polynomial functions, evaluation functions, math functions, statistical density functions, complex functions, main functions"
empty set,"vague set, fuzzy set, data set, axiomatic set theory, training set"
encrypted data,"data encryption standard, data origin authentication, digital data, embedded data, unlabeled data, decompressed data, original data, data set, data storage, quantum data"
encryption algorithm,"encryption algorithms, advanced encryption standard, deterministic encryption scheme, deterministic encryption schemes, deterministic encryption, probabilistic encryption scheme, data encryption standard, encryption keys, certificate-based encryption, disk encryption software"
encryption algorithms,"encryption algorithm, deterministic encryption schemes, deterministic encryption scheme, deterministic encryption, encryption keys, certificate-based encryption, disk encryption software, public key encryption models, disk hardware encryption, standard computer algorithms"
encryption keys,"public key encryption models, encryption algorithm, encryption algorithms, certificate-based encryption, disk encryption software, deterministic encryption, deterministic encryption scheme, disk hardware encryption, deterministic encryption schemes, sort keys"
enhanced double hashing,"hashing problem, semantic hashing"
entanglement measurement,
entropy calculations,"entropy method, differential entropy, normalized entropy, maximum entropy probability distribution"
entropy method,"entropy calculations, differential entropy, cross-entropy method, normalized entropy, transfer entropy, maximum entropy probability distribution, markowitz method, iterative method, numerical method, spectral method"
erp software,"software application, software solution, software implementations, software engineering, computer security software, software construction, software structure, user interface software, software development, lightweight software"
error detection,"error monitoring, runtime error detection, error message, intrusion detection, feature detection, input error, residual bit error rate, compilation error, quantum error, bidirectional forwarding detection"
error message,"error monitoring, error detection, input error, message authentication codes, server message block, runtime error detection, compilation error, residual bit error rate, advanced message queuing protocol, quantum error"
error monitoring,"error detection, runtime error detection, error message, input error, residual bit error rate, quantum error, compilation error"
euclidean cubes,"euclidean space, euclidean division, squared euclidean distances, euclidean distance"
euclidean distance,"squared euclidean distances, euclidean space, distance metric, euclidean division, euclidean cubes, distance metric learning, hamming distance, information distance, normalized compression distance"
euclidean division,"euclidean space, euclidean cubes, euclidean distance, squared euclidean distances"
euclidean space,"dimensional space, euclidean distance, squared euclidean distances, euclidean cubes, euclidean division, hilbert space, problem space, state space, binary space partitioning, sample space"
evaluation functions,"evaluation method, lazy evaluation, math functions, empirical orthogonal functions, activation functions, general recursive functions, main functions, complex functions, polynomial functions, radial functions"
evaluation method,"evaluation functions, supervised method, lazy evaluation, learning method, iterative method, software verification method, jacobi iteration method, markowitz method, jacobi method, method call"
evolution strategies,
evolutionary algorithms,"evolutionary computation, genetic algorithms, evolutionary programming, efficient algorithms, sequential algorithms, iterative algorithms, machine learning algorithms, online algorithms, abstract algorithms, standard computer algorithms"
evolutionary computation,"evolutionary algorithms, evolutionary programming, natural computation, symbolic computation, numeric computation, computation time, symbolic-numeric computation, quantum computation language"
evolutionary programming,"evolutionary computation, evolutionary algorithms, automatic programming, computer programming, programming paradigm, functional programming, scientific programming languages, automata-based programming, Object Oriented Programming, object oriented programming"
exception handling,
exhaustive search,"classic search algorithms, search algorithms, search algorithm, search trees, prune and search, search data structure, self-balancing binary search tree, balancing binary search tree, balanced binary search trees, graph search"
explanatory variables,"linearly independent variables, logical variables"
explicit regression gradient boosting algorithms,"gradient boosting algorithms, Gradient boosting, gradient boosting, gradient boosted trees, kernelized learning algorithms, conjugate gradient method, gradient descent, efficient algorithms, machine learning algorithms, stochastic optimization algorithms"
exponential convergence,convergence analysis
extended binary trees,"binary trees, binary tree, random binary trees, binary search trees, balanced binary search trees, binary search tree, random binary tree, spanning trees, binary search tree data structures, self-balancing binary search tree"
extensible text framework,"abstract framework, text analysis, runtime framework, program text, computational framework, natural language text, text processing, text retrieval, streaming text"
external node,"outer node, Node Link, terminal node, root node, leaf node"
factory method,"Factory method, factory method pattern, method call, supervised method, heuristic method, iterative method, jacobi method, evaluation method, markowitz method, scientific method"
Factory method,"factory method, factory method pattern, method call, supervised method, heuristic method, iterative method, jacobi method, evaluation method, markowitz method, scientific method"
factory method pattern,"Factory method, factory method, design pattern, method call, pattern recognition task, template method pattern, creational pattern, pattern recognition, supervised method, pattern calculus"
fast fourier transform,schwartzian transform
fast multiplication algorithms,"asymptotically efficient multiplication algorithm, efficient algorithms, matrix multiplication, toomcook multiplication, gradient boosting algorithms, iterative algorithms, approximation algorithms, genetic algorithms, matrix algorithms, machine learning algorithms"
feature detection,"feature learning, supervised feature learning, feature maps, intrusion detection, feature oriented programming, unsupervised feature learning, chi-square automatic interaction detection, speech detection, speech activity detection, error detection"
feature learning,"supervised feature learning, unsupervised feature learning, feature detection, feature oriented programming, feature maps, deep learning, computer learning, learning theory, machine learning, representation learning"
feature maps,"feature learning, feature detection, supervised feature learning, feature oriented programming, unsupervised feature learning, hash maps"
feature oriented programming,"feature learning, Object Oriented Programming, object oriented programming, visual programming languages, subject-oriented programming, supervised feature learning, application programming interfaces, application programming interface, programming environments, feature maps"
feedback connections,feedback loop
feedback loop,"feedback connections, loop body, nested loop, loop splitting, generalised loop splitting, loop peeling"
feedforward neural network,"neural network, neural network toolbox, neural networks, physical neural network, neural networks training, artificial neural network, physical neural networks, recurrent neural network, artificial neural networks, computational neural network models"
fibonacci search technique,"classic search algorithms, exhaustive search, search algorithms, search algorithm, search trees, graph search, memory search, search data structure, prune and search, self-balancing binary search tree"
file exchange protocol,"internet protocol suite, network protocol, advanced message queuing protocol, industrial protocol, wireless routing protocol, dynamic host configuration protocol, binary file, spice protocol, image file formats, file overwrites"
file overwrites,"binary file, image file formats, file exchange protocol"
fingerprinting algorithms,"genetic algorithms, efficient algorithms, machine learning algorithms, encryption algorithms, standard computer algorithms, online algorithms, randomized algorithms, sequence labeling algorithms, classification algorithms, core algorithms"
finite automata theory,"automata theory, algorithmic complexity theory, algorithm theory, finite graph, algorithmic information theory, systems theory, combinatorial game theory, complexity theory, approximation theory, computational complexity theory"
finite element methods,"computational methods, orthogonal decomposition methods, spectral methods, lossy methods, optimization methods, regularization methods, linear regularization methods, information technology methods, boosting methods, probabilistic methods"
finite graph,"graph theory, sparse graph, graph polynomial, graph algorithms, graph minor theory, directed graph, underlying graph, graph exploration, graph state, graph states"
finite state machines,"state machines, abstract state machines, state machine, abstract state machine, state machine operating, probabilistic turing machines, abstract machines, support-vector machines, support vector machines, neural turing machines"
first order logic,"order logic, order logics, predicate logic, classical logic, mathematical logic, order function, logic program, computational logic, order functions, compound logic gates"
first-order reduction,reduction systems
fitts's law,"de morgan's law, amdahl's law"
flexible cluster extraction,"cluster analysis algorithms, cluster centers"
floppy disk,"disk hardware encryption, disk encryption software"
flow diagram,"data-flow diagram, schematic diagram"
flowers method,"scientific method, method call, supervised method, learning method, heuristic method, jacobi method, template method pattern, iterative method, gaussseidel method algorithm, jacobi iteration method"
flux architecture,"functional architecture, multimodal architecture, systems architecture, network architecture, cognitive architecture, layered network architecture, computer architecture, information architecture, computer network architecture, computer architecture courses"
fold functions,"math functions, complex functions, primitive recursive functions, general recursive functions, main functions, polynomial functions, computable functions, radial functions, evaluation functions, sigmoid functions"
formal knowledge representation languages,"formal language theory, knowledge base, knowledge engineering, logic programming languages, knowledge discovery, representation learning, scientific programming languages, programming languages, general programming languages, typed programming languages"
formal language theory,"formal knowledge representation languages, programming language theory, language model, general-purpose language, language modeling, computer language, programming language semantics, statistical language model, unified modelling language, programming language"
forward algorithm,"online algorithm, algorithm theory, backfitting algorithm, sequential algorithm, conquer algorithm, parallel algorithm, algorithm design technique, greedy algorithm, nearest neighbor algorithm, recursive algorithm"
fp discovery,"fp mining, knowledge discovery"
fp mining,"structure mining, fp discovery, data mining, text mining, structured data mining"
frequent pattern discovery,"pattern recognition, statistical pattern recognition, pattern recognition task, structural pattern recognition, creational pattern, concurrent pattern calculus, knowledge discovery, pattern matching, pattern calculus, factory method pattern"
fully connected layers,"hidden layers, pooling layers, traditional convolutional layers, normalization layers, connected wireless device"
fully recurrent neural networks,"recurrent neural networks, recurrent neural network, continuous-time recurrent neural networks, discrete time recurrent neural networks, recurrent neural nets, neural networks, neural network, physical neural networks, physical neural network, deep neural networks"
function abstraction,"learnable function class, data abstraction, basic function, function interaction, objective function, differentiable function, primitive recursive function, continuous function, mathematical function, linear objective function"
function interaction,"function abstraction, computer interaction, basic function, 3d user interaction systems, humancomputer interaction, 3d user interaction, 3d user interaction techniques, 3d user interaction system, continuous function, activation function"
function join,"membership function, function interaction, join trees, basic function, learnable function class, function abstraction, hash function, transition function, computable function, map function"
functional analysis,"functional programming, structural analysis, functional arguments, functional optimization, structured analysis, mathematical analysis, functional architecture, discriminant function analysis, multivariate analysis, conformational analysis"
functional architecture,"functional programming, systems architecture, cognitive architecture, computer architecture, functional analysis, multimodal architecture, information architecture, functional presence engines, distributed application architecture, network architecture"
functional arguments,"functional analysis, functional optimization"
functional optimization,"optimization mechanism, optimization methods, optimization theory, optimization problems, optimization algorithm, optimization problem, numerical optimization, combinatorial optimization, optimization software, nonlinear optimization"
functional presence engine,"functional presence engines, functional architecture, functional analysis, functional programming, javascript v8 engine, functional optimization, functional quantum programming languages"
functional presence engines,"functional presence engine, functional architecture, functional programming, functional analysis, functional optimization, functional quantum programming languages"
functional programming,"functional architecture, functional analysis, functional optimization, programming paradigm, functional quantum programming languages, linear programming, logic programming, reactive programming, computer programming, successive linear programming"
functional quantum programming languages,"quantum programming languages, imperative quantum programming languages, quantum programming, quantum programming environment, functional programming, scientific programming languages, general programming languages, programming languages, programming language theory, logic programming languages"
fuzzy class,"fuzzy classification, fuzzy set, fuzzy systems, fuzzy sets, fuzzy classification predicate, fuzzy description logics, fuzzy markup language, fuzzy propositional function, fuzzy logica mathematical system, fuzzy control systems"
fuzzy classification,"fuzzy classification predicate, fuzzy class, fuzzy systems, fuzzy set, fuzzy sets, classification problem, classification performance, classification algorithms, classification accuracy, fuzzy description logics"
fuzzy classification predicate,"fuzzy classification, fuzzy class, classification criteria, classification problem, fuzzy description logics, classification tasks, classification performance, classification algorithms, fuzzy sets, classification accuracy"
fuzzy control system,"fuzzy control systems, fuzzy systems, fuzzy set, fuzzy logica mathematical system, fuzzy sets, fuzzy class, fuzzy classification, control theory, fuzzy markup language, ai control problem"
fuzzy control systems,"fuzzy control system, fuzzy systems, fuzzy set, fuzzy logica mathematical system, fuzzy sets, fuzzy class, fuzzy classification, control theory, fuzzy markup language, model predictive control"
fuzzy description logics,"description logics, fuzzy logica mathematical system, fuzzy class, fuzzy classification, fuzzy classification predicate, fuzzy markup language, fuzzy systems, fuzzy propositional function, fuzzy set, fuzzy sets"
fuzzy logic mathematical model,"fuzzy logica mathematical system, mathematical logic, computational logic, logic program, logic programming, mathematical model, classical logic, logic optimization, logic programming language, boolean logic"
fuzzy logica mathematical system,"fuzzy logic mathematical model, fuzzy systems, fuzzy description logics, fuzzy propositional function, mathematical logic, fuzzy control systems, fuzzy class, fuzzy set, fuzzy control system, fuzzy sets"
fuzzy markup language,"markup language, markup languages, fuzzy class, fuzzy description logics, fuzzy classification, fuzzy systems, fuzzy set, fuzzy logica mathematical system, fuzzy classification predicate, fuzzy sets"
fuzzy propositional function,"fuzzy logica mathematical system, fuzzy systems, fuzzy description logics, fuzzy class, fuzzy set, fuzzy sets, fuzzy classification, propositional logic, fuzzy markup language, fuzzy classification predicate"
fuzzy set,"fuzzy sets, fuzzy systems, fuzzy class, fuzzy control systems, fuzzy control system, fuzzy classification, fuzzy propositional function, fuzzy logica mathematical system, fuzzy markup language, fuzzy description logics"
fuzzy sets,"fuzzy set, fuzzy systems, fuzzy class, fuzzy classification, fuzzy control systems, fuzzy classification predicate, fuzzy propositional function, fuzzy logica mathematical system, fuzzy control system, fuzzy description logics"
fuzzy systems,"fuzzy control systems, fuzzy control system, fuzzy set, fuzzy logica mathematical system, fuzzy sets, fuzzy class, fuzzy classification, fuzzy propositional function, fuzzy description logics, fuzzy markup language"
gaming systems,"software systems, computer systems, embedded systems, systems architecture, information technology systems design, operating systems, 3d user interaction systems, artificial systems, systems engineering, systems theory"
gap analysis naturally flows,"nonlinear global analysis, numerical analysis, asymptotic analysis, structural analysis, conformational analysis, regression analysis, Log analysis, log analysis, convergence analysis, functional analysis"
garbage collection,
gated recurrent units,recurrent neural nets
gaussian distribution,"gaussian processes, gaussian process, gaussian mixture model, gaussian elimination, normal distribution, multivariate normal distribution, probability distribution, value distribution, linear quadratic gaussian control, joint distribution"
gaussian elimination,"gaussian process, gaussian processes, gaussian distribution, gaussian mixture model, linear quadratic gaussian control"
gaussian mixture model,"gaussian processes, gaussian distribution, gaussian elimination, markov model, statistical model, generalized additive model, random permutation model, point distribution model, statistical model comparison, probabilistic model"
gaussian process,"gaussian processes, gaussian elimination, gaussian distribution, continuous-time Markov process, stochastic process, computational process, analytic hierarchy process, analytical hierarchy process, dirichlet process, process optimization software"
gaussian processes,"gaussian process, gaussian distribution, gaussian elimination, gaussian mixture model, linear quadratic gaussian control"
gaussseidel method algorithm,"algorithm theory, baumwelch algorithm, algorithm design technique, approximation algorithm, viterbi algorithm, eigenvalue algorithm, jacobi method, karatsuba algorithm, optimization algorithm, online algorithm"
gene analysis,"data analysis, discriminant function analysis, combinatorial data analysis, functional analysis, regression analysis, Log analysis, log analysis, normal discriminant analysis, linear discriminant analysis, multivariate analysis"
general programming languages,"programming languages, programming language, typed programming languages, programming language theory, programming language compilers, scientific programming languages, visual programming languages, programming language semantics, logic programming languages, scientific programming language"
general recursive functions,"primitive recursive functions, primitive recursive function, recursive relation, recursive algorithms, recursive algorithm, recursive parametrically polymorphic function, hybrid recursive algorithms, main functions, complex functions, polynomial functions"
general-purpose language,"language specification, specification language, natural language, programming language, common language runtime, formal language theory, programming language theory, programming language semantics, computer language, language model"
generalised bayesian networks,"bayesian networks, bayesian network, bayesian information, Bayesian information criterion, nonparametric bayesian models, bayesian svm, bayesian svms, linear bayesian svm, bayesian kernel support vector machine, numeric artificial neural networks"
generalised loop splitting,"loop splitting, nested loop, binary splitting, loop peeling, loop body, feedback loop, generalised bayesian networks"
generalized additive model,"generalized additive models, statistical model, generative model, mathematical model, geometrical model, predictive model, multinomial model, structured model, semi-structured model, structured probabilistic model"
generalized additive models,"generalized additive model, generative models, regression models, linear regression models, probabilistic models, supervised learning models, public key encryption models"
generative adversarial networks,"deep generative models, generative model, generative models, progressive networks, semantic networks, directed networks, heterogeneous networks, neural networks, artificial neural networks, ambient networks"
generative model,"generative models, deep generative models, generative adversarial networks, structured model, language model, semi-structured model, predictive model, generalized additive model, relational model, statistical model"
generative models,"generative model, deep generative models, computational models, generative adversarial networks, generalized additive models, dynamic models, regression models, vector machine models, probabilistic models, linear regression models"
generic programming,"general programming languages, automatic programming, functional programming, programming paradigm, programming language, typed programming languages, programming language compilers, programming languages, programming language semantics, evolutionary programming"
genetic algorithms,"evolutionary algorithms, efficient algorithms, classification algorithms, machine learning algorithms, genetic representation, standard computer algorithms, genetic representations, randomized algorithms, sequential algorithms, search algorithms"
genetic representation,"genetic representations, genetic algorithms, representation learning, graphic representation, formal knowledge representation languages"
genetic representations,"genetic representation, genetic algorithms"
Geometric modeling,"statistical modeling, modeling software, cognitive modeling"
geometrical model,"mathematical model, structured model, semi-structured model, generalized additive model, dimensional vector space model, statistical model, graphical model, multinomial model, generative model, relational model"
gesture recognition,"recognition tasks, image recognition, speech recognition, character recognition, handwriting recognition, object recognition technology, automatic speech recognition, optical character recognition, pattern recognition task, pattern recognition"
gibbs sampling,"shannon sampling theorem, pool-based sampling"
global memory,"computer memory, memory management, memory sharing, memory space, special memory allocation libraries, memory allocation, memory protection, conventional dynamic memory allocation libraries, automatic memory management, memory management unit"
global minimum,"local minimum, global solutions, minimum degree algorithms, minimum k-cut, minimum degree algorithm, deterministic global optimization, nonlinear global analysis, minimum message length, global view, global memory"
global solutions,"nonlinear global analysis, global view, global minimum, global memory, deterministic global optimization"
global view,"global solutions, global memory, nonlinear global analysis, global minimum, deterministic global optimization"
golay code,"code page, code development, source code, computer program source code, code libraries, computer code, google code, code modulation, managed code, lexicographic code"
gompertz curve,"ogee curve, sigmoid curve"
google code,"code page, code libraries, lexicographic code, computer code, binary lexicographic code, code development, source code, managed code, computer program source code, object code"
gradient boosted trees,"Gradient boosting, gradient boosting, gradient boosting algorithms, gradient descent, explicit regression gradient boosting algorithms, spanning trees, thus trees, extended binary trees, join trees, binary trees"
gradient boosting,"Gradient boosting, gradient boosting algorithms, explicit regression gradient boosting algorithms, boosting methods, gradient boosted trees, gradient descent, conjugate gradient method, stochastic gradient descent, stochastic gradient langevin dynamics"
Gradient boosting,"gradient boosting, gradient boosting algorithms, explicit regression gradient boosting algorithms, boosting methods, gradient boosted trees, gradient descent, conjugate gradient method, stochastic gradient descent, stochastic gradient langevin dynamics"
gradient boosting algorithms,"Gradient boosting, gradient boosting, explicit regression gradient boosting algorithms, gradient descent, gradient boosted trees, conjugate gradient method, kernelized learning algorithms, efficient algorithms, fast multiplication algorithms, stochastic gradient descent"
gradient descent,"stochastic gradient descent, case gradient descent, Gradient boosting, gradient boosting, conjugate gradient method, gradient boosting algorithms, gradient boosted trees, explicit regression gradient boosting algorithms, stochastic gradient langevin dynamics"
grading sentiment analysis,sentiment analysis
