Phrase,Neighbours
conventional dynamic memory allocation libraries,"special memory allocation libraries, memory allocation, automatic memory management, memory management, memory management unit, sparse distributed memory, memory debuggers, memory debugger, memory sharing, resource allocation"
convergence analysis,"exponential convergence, matrix analysis, cluster analysis algorithms, combinatorial data analysis, regression analysis, multivariate analysis, numerical analysis, nonlinear global analysis, functional analysis, discriminant function analysis"
convolutional code,"convolutional neural networks, convolutional neural network, traditional convolutional layers, code development, managed code, code points, condition code register, computer code, code modulation, oriented code"
convolutional neural network,"convolutional neural networks, neural network, neural networks, physical neural network, recurrent neural network, physical neural networks, neural network toolbox, recurrent neural networks, neural networks training, deep neural networks"
convolutional neural networks,"convolutional neural network, neural networks, neural network, physical neural networks, recurrent neural networks, physical neural network, deep neural networks, neural networks training, recurrent neural network, fully recurrent neural networks"
copyright investigation,
core algorithms,"standard computer algorithms, abstract algorithms, efficient algorithms, core processor, online algorithms, matrix algorithms, single core processors, minimum degree algorithms, distributed algorithms, single core cpu"
core processor,"single core processors, single core cpu, machine processor, superscalar processor, processor time, core algorithms, scalar processor, 3d core graphics system"
correction algorithms,"sequential algorithms, efficient algorithms, standard computer algorithms, classification algorithms, approximation algorithms, online algorithms, machine learning algorithms, prediction algorithms, search algorithms, iterative algorithms"
correlation matrix,"cross-correlation matrix, correlation network, matrix analysis, incidence matrix, visual correlation, inverse matrix, density matrix, circulant matrix, matrix structures, negative matrix factorization"
correlation network,"correlation matrix, visual correlation, network integration design, network environments, computer network, communications network, network protocol, network elements, telecommunications network, network browsing"
cost allocation,"resource allocation, register allocation, memory allocation"
counterclockwise rotation,rotation data
cpu cache,"cache coherence, single core cpu"
creational pattern,"pattern language, pattern calculus, design pattern, pattern recognition, spatiotemporal pattern, pattern recognition task, structural pattern recognition, factory method pattern, frequent pattern discovery, concurrent pattern calculus"
cross-correlation matrix,"correlation matrix, matrix analysis, inverse matrix, matrix splitting, incidence matrix, non-negative matrix factorization, negative matrix factorization, density matrix, circulant matrix, matrix structures"
cross-entropy method,"entropy method, markowitz method, iterative method, conjugate gradient method, gaussseidel method algorithm, jacobi iteration method, proof method, theoretic method, heuristic method, spectral method"
cross-site scripting,octave scripting language
cryogenic computing,"bio-inspired computing, biologically inspired computing, scientific computing, advanced computing environment, computing machinery, soft computing, distributed computing, distributed computing environment, computing resources, computing power"
cryptographic process,"cryptographic protocols, computational process, continuous-time Markov process, gaussian process, stochastic process, process optimization software, process pixel data, process plant"
cryptographic protocols,cryptographic process
cumulative reward,
current databases,"relational databases, temporal databases, statistical databases, classical statistical databases, taxonomic databases"
cut theorem,"max-flow min-cut theorem, polynomial decomposition theorem, universal approximation theorem, theorem  computer science, uniqueness theorem, shannon sampling theorem"
data abstraction,"abstract data structures, abstract data types, abstract data type, structured data, function abstraction, data structure, abstract graphical data type, arbitrary data structures, data structures, structured data sets"
data analysis,"data model, combinatorial data analysis, term data model, data modeling, data structure, data mining, regression analysis, data visualization, data base model, multivariate analysis"
data base model,"data model, term data model, data modeling, database model, logical data model, data structure, data analysis, data structures, data sets, structured model"
data center,"data warehouse, data processing industry, big data applications, data storage, data visualization, digital data, data structure, distributed data stores, data structures, data set"
data compression,"compressed data, compression schemes, compression rate, lossless compression algorithm, compressed data structure, lossless compression, normalized compression distance, data streaming algorithms, data storage, decompressed data"
data differencing,"data structure, data sets, data structures, term data model, data set, data objects, data type, data sparsity, data analysis, data model"
data elements,"data objects, data structures, data structure, data sets, structured data, labeled data, data set, arbitrary data structures, structured data sets, input data"
data encryption standard,"advanced encryption standard, certificate-based encryption, encryption algorithm, encrypted data, deterministic encryption scheme, disk encryption software, deterministic encryption, deterministic encryption schemes, public key encryption models, disk hardware encryption"
data flows,"processing data streams, data transfer, streaming data, data model, gap analysis naturally flows, input data, data streaming algorithms, data sets, transfer data, data objects"
data mining,"structured data mining, technology mining, text mining, tech mining, search data structure, data analysis, data retrieval operations, structure mining, fp mining, data streaming algorithms"
data model,"term data model, data modeling, data base model, logical data model, database model, data analysis, statistical model, structured model, data structure, c4 model"
data modeling,"data model, term data model, data base model, modeling software, logical data model, data analysis, language modeling, data visualization, cognitive modeling, data structure"
data objects,"data structure, data structures, data elements, data type, arbitrary data structures, data abstraction, abstract data structures, structured data, visual objects, data sets"
data origin authentication,"authentication mechanism, message authentication codes, data encryption standard, encrypted data, original data, data mining, transfer data, data transfer, textual data, raw data"
data processing industry,"data warehouse, processing data streams, data analysis, distributed information processing, big data applications, data center, processing unit, data mining, data visualization, distributed data stores"
data retrieval operations,"information retrieval, efficient retrieval, text retrieval, data mining, search data structure, data transfer, data stored, structured data mining, data visualization, processing data streams"
data set,"data sets, structured data sets, structured data, labeled data, data elements, data structure, data structures, data objects, data stored, data model"
data sets,"data set, structured data sets, structured data, data structures, data structure, arbitrary data structures, data elements, labeled data, data objects, data model"
data sparsity,"data differencing, data compression, data type constrains, data sets, data analysis, compressed data structure, digital data, data structure, compressed data, data structures"
data storage,"data stored, storage space, distributed data stores, data warehouse, digital data, data transfer, data compression, streaming data, big data applications, compressed data structure"
data stored,"data storage, distributed data stores, displaying data, data warehouse, embedded data, data set, data transfer, transfer data, structured data, raw data"
data stream clustering,"distribution-based clustering, processing data streams, data streaming algorithms, streaming data, k-means clustering, data visualization, structured data mining, data mining, data flows, data sets"
data streaming algorithms,"streaming data, processing data streams, data stream clustering, online algorithms, data compression, streaming text, data mining, big data applications, data flows, distributed data stores"
data structure,"data structures, abstract data structures, structured data, arbitrary data structures, structured data sets, data objects, compressed data structure, search data structure, adjacency list data structure, data abstraction"
data structures,"data structure, arbitrary data structures, abstract data structures, structured data, structured data sets, data objects, data elements, compressed data structure, data sets, adjacency list data structure"
data transfer,"transfer data, transfer learning, digital data, data storage, streaming data, data stored, distributed data stores, data flows, data retrieval operations, data warehouse"
data type,"primitive data types, rational data type, data type constrains, term complex data type, abstract data type, data objects, data structure, abstract data types, composite data type, abstract graphical data type"
data type constrains,"data type, primitive data types, rational data type, term complex data type, data abstraction, abstract graphical data type, abstract data type, data structure, data structures, abstract data types"
data visualization,"scientific visualization, displaying data, data modeling, data abstraction, data analysis, data model, multimedia data, data structure, structured data, digital data"
data warehouse,"data processing industry, distributed data stores, data storage, data stored, data center, digital data, data abstraction, data transfer, big data applications, data structure"
data-flow diagram,"flow diagram, schematic diagram"
database columns,"database table, database systems, database index, database indexes, database indexing technique, database model, database relation, relational database, database dumps, hierarchical database modelit"
database dumps,"database table, database systems, database columns, database index, database tuning, database indexes, database model, hierarchical database modelit, database indexing technique, database relation"
database index,"database indexes, database indexing technique, database table, database columns, database systems, database relation, database model, relational database, relational database theory, database tuning"
database indexes,"database index, database indexing technique, database table, database columns, database systems, database relation, database model, relational database, relational database theory, database normalization"
database indexing technique,"database indexes, database index, database table, database columns, database systems, database model, database tuning, database relation, relational database theory, hierarchical database modelit"
database model,"relational database models, hierarchical database modelit, database systems, data model, database table, relational database theory, database relation, relational database, database tuning, data base model"
database normalization,"database tuning, database model, database systems, hierarchical database modelit, database relation, database indexes, database index, database indexing technique, relational database models, database table"
database relation,"relational database, relational database theory, relational database domain, database table, database systems, relational database models, database model, database index, database columns, database indexes"
database systems,"database model, sql systems, database table, hierarchical database modelit, relational database, database tuning, database columns, database relation, technology database, relational database theory"
database table,"database columns, database systems, database model, database relation, database index, database indexes, relational database, database indexing technique, relational database theory, database dumps"
database tuning,"database systems, database model, database normalization, hierarchical database modelit, database indexing technique, database table, database index, database indexes, database columns, database dumps"
de morgan's law,"amdahl's law, fitts's law"
decimal computers,"differentiable neural computers, desktop computers"
decision boundaries,"decision boundary, decision rules, decision trees, decision making problems, decision tree technique, decision model, modern decision theory, random decision forests, constraint decision model, decision model and notation"
decision boundary,"decision boundaries, decision rules, decision trees, decision model, boundary singularity, decision tree technique, decision making problems, modern decision theory, constraint decision model, decision model and notation"
decision making problems,"decision rules, modern decision theory, decision model, decision boundaries, decision trees, decision tree technique, decision boundary, constraint decision model, decision network, decision model and notation"
decision model,"modern decision theory, decision model and notation, decision rules, decision making problems, constraint decision model, decision tree technique, decision boundaries, prediction model, decision network, decision trees"
decision model and notation,"decision model, constraint decision model, modern decision theory, decision rules, decision tree technique, decision making problems, decision boundaries, decision boundary, model sequences, decision trees"
decision network,"computer network, network architecture, decision model, telecommunications network, belief network, decision rules, network scheduler, computer network architecture, network protocol, organizational network"
decision rules,"decision making problems, decision boundaries, modern decision theory, decision model, decision boundary, decision trees, decision model and notation, decision tree technique, decision network, constraint decision model"
decision tree technique,"decision trees, random decision forests, ordered tree, tree traversal, tree decomposition, decision boundaries, decision model, tree decompositions, balanced tree, spanning tree generation"
decision trees,"decision tree technique, random decision forests, decision boundaries, thus trees, decision rules, search trees, spanning trees, join trees, decision boundary, decision model"
decompressed data,"compressed data, data compression, unlabeled data, raw data, compressed data structure, processing data streams, unlabeled input data, data streaming algorithms, semiautomatic data processing systems, structured data"
deep belief networks,"belief network, deep neural networks, deep learning, modern deep learning models, deep generative models, deep reinforcement learning, deep boltzmann machine, deep boltzmann machines"
deep boltzmann machine,"deep boltzmann machines, boltzmann learning rule, deep neural networks, deep learning, modern deep learning models, deep belief networks, deep generative models, deep reinforcement learning"
deep boltzmann machines,"deep boltzmann machine, boltzmann learning rule, deep neural networks, helmholtz machines, finite state machines, intelligent machines, abstract machines, abstract state machines, deep learning, modern deep learning models"
deep generative models,"generative models, generative model, generative adversarial networks, modern deep learning models, computational models, deep neural networks, dynamic models, vector machine models, deep learning, supervised learning models"
deep learning,"modern deep learning models, deep reinforcement learning, deep neural networks, machine learning, human learning, eager learning, online machine learning, semi-supervised learning, learning theory, supervised learning"
deep neural networks,"neural networks, neural network, artificial neural networks, physical neural networks, artificial neural network, physical neural network, deep learning, neural networks training, neural network toolbox, computational neural network models"
deep reinforcement learning,"reinforcement learning, reinforcement learning agent, deep learning, modern deep learning models, eager learning, supervised learning, machine learning, semi-supervised learning, supervised machine learning, deep neural networks"
degree matrix,"inverse matrix, matrix structures, matrix analysis, system matrix, matrix algorithms, matrix equations, matrix operations, density matrix, matrix splitting, nm matrix"
delay-tolerant networking,"tolerant networking algorithms, active networking, traditional computer networking, autonomic networking, synchronous optical networking"
delta encoding,"character encoding, range encoding"
denotational semantics,"programming language semantics, relational semantics"
density function,"statistical density functions, density operator, density matrix, probability density proportional, joint density, kernel density estimation, joint density matrix, continuous function, mathematical function, differentiable function"
density matrix,"joint density matrix, density function, matrix structures, density operator, matrix analysis, statistical density functions, incidence matrix, kernel density estimation, inverse matrix, degree matrix"
density operator,"density function, statistical density functions, density matrix, probability density proportional, kernel density estimation, joint density, joint density matrix"
dependency network,"network architecture, network environments, computer network architecture, linear dependency, network protocol, layered network architecture, internal network, computer network, computer network programming, organizational network"
description logics,"fuzzy description logics, higher-order logics, order logics, hardware description language, software design description"
descriptive statistics,computational statistics
design pattern,"design patterns, Software design pattern, design problem, pattern language, industrial design, application design, conceptual design discipline, visual design, creational pattern, partitioning design pattern"
design patterns,"design pattern, Software design pattern, design problem, conceptual design discipline, visual design, industrial design, application design, behavioral software design pattern, object-oriented design, graphic design"
design problem,"design pattern, design patterns, conceptual design discipline, industrial design, application design, graphic design, visual design, ux design, algorithmic design, software design"
desktop computers,"desktop environment, desktop virtualization, decimal computers, differentiable neural computers"
desktop environment,"desktop computers, desktop virtualization, advanced computing environment, immersive virtual environment, runtime environment, distributed computing environment, heterogeneous environment, quantum programming environment"
desktop virtualization,"user virtualization, user virtualization decouples, desktop computers, red hat virtualization, desktop environment"
deterministic algorithm,"greedy algorithm, algorithm theory, optimization algorithm, randomized algorithm, approximation algorithm, supervised learning algorithm, sequential algorithm, learning algorithm, algorithm design technique, polynomial time algorithm"
deterministic approximation,"approximation theory, approximation algorithms, approximation algorithm, deterministic global optimization, universal approximation theorem, sparse approximation, deterministic encryption schemes, deterministic encryption, deterministic encryption scheme"
deterministic encryption,"deterministic encryption scheme, deterministic encryption schemes, probabilistic encryption scheme, encryption algorithms, encryption algorithm, advanced encryption standard, data encryption standard, certificate-based encryption, encryption keys, public key encryption models"
deterministic encryption scheme,"deterministic encryption schemes, deterministic encryption, probabilistic encryption scheme, encryption algorithms, encryption algorithm, advanced encryption standard, data encryption standard, certificate-based encryption, encryption keys, public key encryption models"
deterministic encryption schemes,"deterministic encryption scheme, deterministic encryption, probabilistic encryption scheme, encryption algorithms, encryption algorithm, advanced encryption standard, data encryption standard, certificate-based encryption, encryption keys, public key encryption models"
deterministic global optimization,"deterministic approximation, optimization theory, combinatorial optimization, optimization mechanism, stochastic optimization, optimization methods, robust optimization, combinatorial optimization problems, nonlinear optimization, numerical optimization"
differentiable function,"linear function, higher-order function, recursive parametrically polymorphic function, primitive recursive function, basic function, mathematical function, function abstraction, exact function, function evaluates, continuous function"
differentiable neural computers,"neural networks, physical neural networks, neural network, neural turing machines, physical neural network, neural information processing workshop, artificial neural networks, artificial neural network, recurrent neural nets, recurrent neural networks"
differential calculus,"differential equations, typed lambda calculus, pattern calculus, milnermycroft calculus, concurrent pattern calculus, stochastic differential equations, differential entropy"
differential entropy,"entropy method, entropy calculations, normalized entropy, transfer entropy, maximum entropy probability distribution, differential calculus, stochastic differential equations, differential equations"
differential equations,"differential calculus, linear equations, stochastic differential equations, matrix equations, differential entropy"
digital  web pages,"web pages, digital information, world wide web, web servers, web design, digital data, web applications, digital computer, digital network, digital sort"
digital camera,"digital picture processing, digital image processing, digital signal, digital transmission, digital data, digital signal processing, digital computer, digital filter, digital information, digital filters"
digital circuits,"combinational circuits, digital logic, digital transmission, digital computer, digital signal processing, digital signal, digital network, digital conversion, digital data, digital filters"
digital computer,"computer systems, digital network, digital data, computer program, digital information, computer science, computer hardware unit, computer programs, computer interface, computer architecture"
digital conversion,"digital transmission, digital data, digital signal, digital signal processing, digital logic, digital computer, digital information, digital circuits, digital filter, digital filters"
digital data,"digital information, multimedia data, digital network, digital computer, digital conversion, digital signal, digital logic, data transfer, data storage, streaming data"
digital filter,"digital filters, digital signal processing, digital signal, digital transmission, digital data, digital conversion, digital image processing, digital logic, digital picture processing, digital sort"
digital filters,"digital filter, adaptive filters, composition filters, digital signal processing, digital signal, digital transmission, digital conversion, digital image processing, digital logic, digital data"
digital image processing,"digital picture processing, image processing, digital signal processing, image recognition, graphics processing unit, digital camera, image search tool, digital data, image file formats, signal processing"
digital information,"digital data, technology information, online information, information technology, information system, information science, information technology methods, information retrieval, digital computer, digital  web pages"
digital logic,"computational logic, logic programming, logic program, logic programming language, computability logic, classical logic, mathematical logic, compound logic gates, logic programming languages, digital data"
digital network,"computer network, communications network, telecommunications network, digital transmission, network architecture, computer network architecture, digital computer, computer network programming, digital data, network protocol"
digital picture processing,"digital image processing, image processing, digital signal processing, graphics processing unit, digital camera, digital data, signal processing, digital signal, data processing industry, processing unit"
digital signal,"digital signal processing, digital transmission, analog signal, signal generation, signal processing, digital data, digital filter, digital conversion, input signal, digital network"
digital signal processing,"digital signal, signal processing, digital image processing, digital picture processing, signal generation, digital transmission, digital filter, analog signal, digital conversion, digital filters"
digital signatures,"electronic signatures, digital signal, digital conversion, digital data, digital logic, digital information, digital signal processing, digital circuits, digital transmission, digital filters"
digital sort,"insertion sort, comparison sort, parallel sort, sort keys, radix sort, hybrid merge sort, digital data, digital information, digital  web pages, digital filter"
digital transmission,"digital signal, digital network, digital signal processing, digital conversion, digital circuits, digital data, digital computer, digital filter, digital information, digital filters"
dimensional complexity theory,"complexity theory, computational complexity theory, dimensional theories, computational complexity, algorithmic complexity theory, complexity bounds, dimensional space, kolmogorov complexity, dimensional generalization, dimensional optimization problem"
dimensional dynamic models,"dynamic models, dimensional vector space model, dimensional theories, dimensional vector space model implementations, dimensional real vector, dimensional generalization, vector machine models, computational models, dimensional space, dimensional complexity theory"
dimensional generalization,"dimensional space, dimensional theories, dimensional real vector, dimensional vector space model, dimensional complexity theory, dimensional vector space model implementations, dimensional dynamic models, dimensional optimization problem"
dimensional optimization problem,"optimization problem, optimization problems, Infinite-dimensional optimization, numerical optimization, optimization methods, optimization algorithm, optimization theory, vector optimization, combinatorial optimization problems, optimization mechanism"
dimensional real vector,"dimensional vector space model, dimensional vector space model implementations, vector space, dimensional generalization, dimensional space, dimensional theories, vector field, row vector, complex vector spaces, dimensional dynamic models"
dimensional space,"euclidean space, dimensional vector space model, dimensional theories, vector space, dimensional generalization, dimensional complexity theory, dimensional real vector, dimensional vector space model implementations, problem space, hilbert space"
dimensional theories,"dimensional complexity theory, dimensional space, dimensional dynamic models, dimensional generalization, dimensional real vector, dimensional vector space model, dimensional vector space model implementations, algebraic theories, dimensional optimization problem, cognitive theories"
dimensional vector space model,"dimensional vector space model implementations, dimensional real vector, vector space, dimensional space, vector machine models, dimensional dynamic models, dimensional generalization, vector spaces, dimensional theories, complex vector spaces"
dimensional vector space model implementations,"dimensional vector space model, dimensional real vector, vector machine models, vector space, dimensional dynamic models, dimensional space, dimensional generalization, vector spaces, dimensional theories, complex vector spaces"
directed acyclic graph,"directed graph, directed graphs, simple directed graphs, graph algorithms, underlying graph, graph theory, graph state, graph exploration, graph states, finite graph"
directed edge,"directed networks, directed graphical model, edge contraction, directed graph, directed graphs, directed acyclic graph, simple directed graphs"
directed graph,"directed graphs, simple directed graphs, directed acyclic graph, graph exploration, graph algorithms, graph state, graph theory, underlying graph, graph states, graph search"
directed graphical model,"graphical model, undirected graphical model, probabilistic graphical model, directed graphs, directed graph, structured model, directed networks, semi-structured model, simple directed graphs, osi model"
directed graphs,"simple directed graphs, directed graph, directed acyclic graph, directed networks, directed graphical model, directed edge"
directed networks,"progressive networks, terrestrial networks, directed graphs, directed graphical model, directed graph, generative adversarial networks, ambient networks, router networks, heterogeneous networks, simple directed graphs"
dirichlet process,"computational process, process plant, process optimization software, analytical hierarchy process, stochastic process, analytic hierarchy process, continuous-time Markov process, gaussian process, process pixel data"
discrete mathematics,"computational mathematics, applied mathematics, discrete time recurrent neural networks"
discrete time recurrent neural networks,"time recurrent neural networks, continuous-time recurrent neural networks, recurrent neural networks, fully recurrent neural networks, recurrent neural network, time delay neural network, recurrent neural nets, neural networks, physical neural networks, neural network"
discriminant function analysis,"linear discriminant function, linear discriminant analysis, normal discriminant analysis, linear discriminant, functional analysis, parity function, differentiable function, multivariate analysis, data analysis, exact function"
disk encryption software,"disk hardware encryption, data encryption standard, encryption keys, certificate-based encryption, encryption algorithm, encryption algorithms, advanced encryption standard, deterministic encryption scheme, deterministic encryption, deterministic encryption schemes"
disk hardware encryption,"disk encryption software, data encryption standard, certificate-based encryption, encryption algorithm, encryption keys, encryption algorithms, advanced encryption standard, deterministic encryption, deterministic encryption scheme, deterministic encryption schemes"
displaying data,"labeled data, data stored, data visualization, embedded data, data set, processing data streams, streaming data, raw data, digital data, multimedia data"
distance metric,"distance metric learning, euclidean distance, hamming distance, information distance, normalized compression distance"
distance metric learning,"distance metric, euclidean distance, information distance, online machine learning, hamming distance, learning vector quantization, machine learning, statistical learning theory, similarity learning, computational learning theory"
distributed algorithms,"distributed computing, distributed artificial intelligence, distributed artificial intelligence systems, distributed application, distributed information processing, distributed computing environment, distributed search, efficient algorithms, randomized algorithms, online algorithms"
distributed application,"distributed application architecture, distributed computing, distributed computing environment, distributed information processing, distributed object communication, distributed search, portable distributed objects, distributed algorithms, distributed data stores, distributed artificial intelligence"
distributed application architecture,"distributed application, distributed computing environment, distributed computing, distributed information processing, systems architecture, distributed object communication, portable distributed objects, distributed data stores, computer architecture, distributed algorithms"
distributed artificial intelligence,"distributed artificial intelligence systems, artificial intelligence, artificial intelligence laboratory, traditional artificial intelligence, symbolic artificial intelligence, distributed algorithms, artificial intelligent agents, subsymbolic artificial intelligence, distributed information processing, swarm intelligence algorithms"
distributed artificial intelligence systems,"distributed artificial intelligence, artificial intelligence, artificial intelligence laboratory, traditional artificial intelligence, symbolic artificial intelligence, distributed algorithms, artificial systems, artificial intelligent agents, distributed information processing, subsymbolic artificial intelligence"
distributed computing,"distributed computing environment, distributed application, distributed information processing, distributed algorithms, distributed application architecture, distributed data stores, distributed search, distributed object communication, portable distributed objects, distributed artificial intelligence"
distributed computing environment,"distributed computing, distributed application, advanced computing environment, distributed application architecture, distributed information processing, distributed algorithms, portable distributed objects, distributed data stores, distributed object communication, distributed search"
distributed data stores,"distributed information processing, distributed computing, distributed search, data warehouse, data stored, distributed application, data storage, distributed computing environment, portable distributed objects, distributed application architecture"
distributed information processing,"distributed computing, distributed data stores, distributed application, distributed computing environment, distributed object communication, distributed algorithms, distributed search, distributed artificial intelligence systems, distributed application architecture, distributed artificial intelligence"
distributed key generation,"distributed computing, distributed computing environment, distributed application, distributed information processing, portable distributed objects, distributed application architecture, distributed object communication, distributed search, distributed artificial intelligence systems, distributed algorithms"
distributed object communication,"portable distributed objects, distributed information processing, distributed application, distributed computing, distributed application architecture, distributed computing environment, distributed data stores, distributed artificial intelligence, distributed artificial intelligence systems, Object Oriented Programming"
distributed search,"distributed application, distributed computing, distributed data stores, distributed information processing, distributed algorithms, search algorithms, search algorithm, distributed computing environment, distributed artificial intelligence, portable distributed objects"
distribution-based clustering,"clustering algorithms, k-means clustering, data stream clustering"
division algorithm,"division algorithms fall, transformation algorithm, division multiplexing, recursive algorithm, algorithm theory, optimization algorithm, conquer algorithm, linear programming algorithm finds, sorting algorithm, polynomial time algorithm"
division algorithms fall,"division algorithm, classification algorithms, division multiplexing, correction algorithms, fast multiplication algorithms, matrix algorithms, minimum degree algorithms, efficient algorithms, anderberg algorithms, standard computer algorithms"
division multiplexing,"multiplexing technique, division algorithm, spatial multiplexing, division algorithms fall"
dma attack,"DMA attack, dma attacks, side channel attack"
DMA attack,"dma attack, dma attacks, side channel attack"
dma attacks,"DMA attack, dma attack"
document pattern,"abstract document pattern, pattern language, template method pattern, design pattern, mvc design pattern, pattern calculus, pattern matching, pattern recognition, Software design pattern, creational pattern"
domain method,"relational database domain, method call, supervised method, spectral method, Factory method, factory method, heuristic method, jacobi method, factory method pattern, learning method"
double-ended priority queue,"priority queue, priority queues, randomized meldable priority queue"
doubly linked list,"linked list, unrolled linked list, unrolled linked lists, adjacency list"
dynamic array,"dynamically allocated array, dynamic prefetched arrays, array list, dynamic table, mutable array, resizable array, dynamic models, dynamic compilation, bit array, dimensional dynamic models"
dynamic compilation,"static compilation, compilation error, dynamic table, dynamic models, dynamic array, compilation errors, conventional dynamic memory allocation libraries, dynamic prefetched arrays, dimensional dynamic models, dynamic host configuration protocol"
dynamic host configuration protocol,"network protocol, internet protocol suite, wireless routing protocol, advanced message queuing protocol, file exchange protocol, industrial protocol, dynamic compilation, dynamic models, spice protocol, dynamic table"
dynamic models,"dimensional dynamic models, computational models, regression models, generative models, probabilistic models, vector machine models, linear regression models, dynamic table, dynamic array, dynamic compilation"
dynamic prefetched arrays,"dynamic array, static arrays, associative arrays, dynamic table, dynamic compilation, conventional dynamic memory allocation libraries, dynamic models, dimensional dynamic models"
dynamic table,"table structure, dynamic array, lookup table, database table, dynamic models, dynamic compilation, dynamic prefetched arrays, truth table, dimensional dynamic models, hash table"
dynamical system,"dynamical systems theory, linear system, computational system, inverse system, multimodal system, reasoning system, information system, system level analysis, system matrix, system performance"
dynamical systems theory,"dynamical system, systems theory, artificial systems, adaptive systems, computational systems, automata theory, control theory, reasoning systems, systems engineering, finite automata theory"
dynamically allocated array,"dynamic array, resizable array, array list, mutable array, bit array, compressed suffix array"
eager learning,"human learning, deep learning, supervised learning, computer learning, deep reinforcement learning, transductive learning, reinforcement learning, learning theory, lazy learning, learning method"
ecb mode,
economic game theory,"combinatorial game theory, algorithm theory, probability theory, systems theory, automata theory, optimization theory, information theory, learning theory, graph theory, finite automata theory"
edge contraction,"tree contraction, parallel tree contraction, directed edge"
efficient algorithms,"standard computer algorithms, sequential algorithms, iterative algorithms, online algorithms, based learning algorithms, abstract algorithms, approximation algorithms, evolutionary algorithms, machine learning algorithms, search algorithms"
efficient retrieval,"data retrieval operations, information retrieval, text retrieval, efficient algorithms"
eigenmode expansion,
eigenvalue algorithm,"algorithm theory, compound algorithm, key algorithm, learning algorithm, polynomial time algorithm, Symmetric-key algorithm, thomas algorithm, gaussseidel method algorithm, algorithm design technique, SchÃ¶nhageÂStrassen algorithm"
electronic signature,electronic signatures
electronic signatures,"digital signatures, electronic signature"
embedded data,"embedded systems, data abstraction, displaying data, structured data, data stored, multimedia data, digital data, abstract data structures, data objects, data elements"
embedded systems,"embedded data, systems architecture, artificial systems, software systems, computer systems, systems engineering, operating systems, adaptive systems, gaming systems, distributed artificial intelligence systems"
empirical eigenfunction,"empirical eigenfunction decomposition, empirical orthogonal functions"
empirical eigenfunction decomposition,"empirical eigenfunction, orthogonal decomposition methods, orthogonal decomposition, interpolative decomposition, oriented decomposition, matrix decomposition, polynomial decomposition, empirical orthogonal functions, polynomial decomposition theorem, cholesky decomposition"
empirical orthogonal functions,"orthogonal decomposition, orthogonal decomposition methods, radial functions, empirical eigenfunction, polynomial functions, empirical eigenfunction decomposition, evaluation functions, math functions, statistical density functions, complex functions"
empty set,"vague set, fuzzy set, data set, axiomatic set theory, training set"
encrypted data,"data encryption standard, data origin authentication, digital data, embedded data, data stored, unlabeled data, decompressed data, original data, data type constrains, data set"
encryption algorithm,"encryption algorithms, advanced encryption standard, deterministic encryption scheme, deterministic encryption schemes, deterministic encryption, probabilistic encryption scheme, data encryption standard, encryption keys, certificate-based encryption, disk encryption software"
encryption algorithms,"encryption algorithm, deterministic encryption schemes, deterministic encryption scheme, deterministic encryption, encryption keys, certificate-based encryption, disk encryption software, public key encryption models, disk hardware encryption, standard computer algorithms"
encryption keys,"public key encryption models, encryption algorithm, encryption algorithms, certificate-based encryption, disk encryption software, deterministic encryption, deterministic encryption scheme, disk hardware encryption, deterministic encryption schemes, sort keys"
enhanced double hashing,"hashing problem, semantic hashing"
ensemble learning method,"learning method, machine learning, supervised machine learning, supervised feature learning, supervised learning, online machine learning, supervised learning model, supervised learning models, machine learning tasks, feature learning"
entanglement measurement,
entropy calculations,"entropy method, differential entropy, normalized entropy, maximum entropy probability distribution"
entropy method,"entropy calculations, differential entropy, cross-entropy method, normalized entropy, transfer entropy, maximum entropy probability distribution, markowitz method, iterative method, theoretic method, numerical method"
environmental prediction,"prediction model, prediction algorithms, memory dependence prediction"
erp software,"software application, software solution, evaluate computer software, software implementations, software engineeringis, software engineering, computer security software, software construction, software engineering body, software structure"
error detection,"error monitoring, runtime error detection, error message, intrusion detection, feature detection, input error, residual bit error rate, compilation error, quantum error, bidirectional forwarding detection"
error message,"error monitoring, error detection, input error, message authentication codes, server message block, runtime error detection, compilation error, residual bit error rate, advanced message queuing protocol, quantum error"
error monitoring,"error detection, runtime error detection, error message, input error, residual bit error rate, quantum error, compilation error"
euclidean cubes,"euclidean space, euclidean division, squared euclidean distances, euclidean distance"
euclidean distance,"squared euclidean distances, euclidean space, distance metric, euclidean division, euclidean cubes, distance metric learning, hamming distance, information distance, normalized compression distance"
euclidean division,"euclidean space, euclidean cubes, euclidean distance, squared euclidean distances"
